"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 3
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/LICENSE.md", "Markdown", 0, 0, 0, 17, 0, 5, 22
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/README.md", "Markdown", 0, 0, 0, 15, 0, 4, 19
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/documentation/development.md", "Markdown", 0, 0, 0, 18, 0, 13, 31
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/documentation/reflection.md", "Markdown", 0, 0, 0, 39, 0, 21, 60
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/documentation/testing.md", "Markdown", 0, 0, 0, 3, 0, 1, 4
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/jest.config.js", "JavaScript", 4, 0, 0, 0, 6, 3, 13
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/package-lock.json", "JSON", 0, 0, 6909, 0, 0, 1, 6910
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/package.json", "JSON", 0, 0, 23, 0, 0, 1, 24
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Invoice.js", "JavaScript", 177, 0, 0, 0, 88, 23, 288
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Order.js", "JavaScript", 114, 0, 0, 0, 86, 29, 229
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Product.js", "JavaScript", 63, 0, 0, 0, 94, 21, 178
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/ProductCatalog.js", "JavaScript", 49, 0, 0, 0, 36, 14, 99
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Store.js", "JavaScript", 64, 0, 0, 0, 69, 21, 154
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/index.js", "JavaScript", 17, 0, 0, 0, 3, 4, 24
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/invoice.test.js", "JavaScript", 68, 0, 0, 0, 3, 13, 84
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/order.test.js", "JavaScript", 220, 0, 0, 0, 3, 46, 269
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/product.test.js", "JavaScript", 82, 0, 0, 0, 3, 23, 108
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/productCatalog.test.js", "JavaScript", 73, 0, 0, 0, 3, 16, 92
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/test/store.test.js", "JavaScript", 57, 0, 0, 0, 3, 17, 77
"Total", "-", 988, 3, 6932, 92, 397, 276, 8688